Prompt,Response,Task
"Write the outline for a short story intended to teach a young child about the importance of being honest. The primary focus of the story should be on how a young boy named Steven finds $100 on the ground and initially wants to keep it for himself, but eventually, he comes to understand that he should return it to its rightful owner. Other characters to include are a talking bear named Brian who is the child's best friend as well as his mom. Keep the outline to around 10 sentences.","- An 8-year-old boy named Steven is playing in the yard with his best friend Brian, a bear that talks.
- A gust of wind causes both characters to shiver, but when Steven looks down he sees that a $100 bill has blown into the yard.
- Steven picks up the money and shows it to Brian, excitedly declaring that the two of them should go and get ice cream and candy to celebrate their luck. 
- Brian cautions Steven that the money is not his and that keeping it without first trying to find its owner would be dishonest.
- Brian and Steven go inside, where they hear the doorbell ring.   
- Steven's mom answers the door where a passing motorist nervously greets her and explains that he had stopped to get his bearings when a strong gust of wind blew a $100 bill right out of his hand. 
- The motorist explains that the money was intended for him to pay for his hotel room that night, but without it, he will be forced to sleep in his car. He asks if she could check her yard for the lost money.  
- Steven looks at Brian and realizes that Brian was right, that keeping the money knowing it belongs to someone else would be dishonest. 
- Steven goes to the door and gives the money back to the motorist, who is extremely thankful and even lets Steven keep $10 as a reward on the condition that he spends all of it on ice cream and candy. ",Rewriting
"Rewrite this text so that it is formatted as 
1. {question}
  -  {answer}

All B6 vitamers are found in food. The richest sources of vitamin B6 include fish, beef, liver and other organ meats, potatoes and other starchy vegetables, and fruit (other than citrus).
The bioavailability of vitamin B6 from foods is influenced by the food matrix (the complex assembly where complex physical and chemical interaction of nutrients and non-nutrients take place) and by the extent of processing to which the foods are subjected: stable with cooking, nutrient loss with prolonged exposure to high heat (i.e. sterilizing and canning). Vitamin loss from plant food is generally less than from animal products. Vitamin loss may also occur will food storage, milling and refining of grains.

Main function: variety of reactions for nutrient metabolism and energy production; gene expression.

Main coenzyme is pyridoxal 5’ phosphate (PLP) and pyridoxamine 5’ phosphate (PMP) are the active coenzyme forms of vitamin B6.","1. Where are all B6 vitamins found?
 - In food
2. What foods contain the richest source of Vitamin B6?
 - Some of these food sources include fish, beef, liver, and other organic meats. Other non-animal sources include potatoes, starchy vegetables, and fruits that are not categorized as citrus.
3. What influences B6's bioavailability?
 - The food matrix, which is an assembly where physical and chemical reactions occur between nutrients and non-nutrients. The amount of processing also plays a big role in bioavailability. For 
    example, nutrient loss can occur when cooking foods for too long or at too high of heat. Plant sources tend to lose fewer vitamins as opposed to animal sources.
4. What else causes vitamin B6 loss?
 - Storing food for long periods, as well as milling and refining grains can cause a loss in vitamin B6.
5. What is the main function of VItamin B6?
 - B6 participates in a variety of reactions in the metabolic system and also plays a role in energy production. Vitamin B6 is also important for gene expression.
6. What is the main coenzyme for Vitamin B6?
 - The main coenzymes are pyridoxal 5’ phosphate (PLP) and pyridoxamine 5’ phosphate (PMP).",Rewriting
Write a short rhyming story about Smiley Riley with a twist,"Smiley Riley was a happy little girl who smiled at everyone,
She had a beautiful face and hair and was bright as the sun.

People swore she never blinked, but that rumor wasn't all;
It turns out that Smiley Riley was only a painting on the wall.",Rewriting
Write a short story about a boy who goes to his first day of school. It should not exceed 225 words.,"Tom clutched his lunch box in one hand and his mother's hand in the other.  As they got closer and closer to the school, Tom's emotions of excitement and fear got stronger.  What would his first day at school be like?  Would the other kids like him? At the door, his mother leaned down to kiss him and wish him well.  Tom put on a brave face and entered the building.  Inside, it was colorful and lively.  A teacher guided him to put away his belongings and showed him to a table that had playdough on it.  A little girl with dark hair was squeezing some red playdough in her hands. ""Look at this!"" she exclaimed, pushing her hands towards Tom.  He smiled and picked up some blue playdough.  The ice was broken by the little girl's smile.  ""I'm going to make a snake,"" Tom told her.  They continued to play until it was time for gathering on the rug.  Tom's fear had disappeared, and he knew school was going to be A-OK. ",Rewriting
"Write a three-paragraph story about a secret agent on a mission to retrieve some secret information. Also, make the secret agent a mouse. Use ""mouse-sized"" at least three times in the story.","I’ve written this story about a mouse called Secret Agent Squeakers on a mission:

The hallway was silent as Secret Agent Squeakers tiptoed down it in the dark. He was a lucky mouse; none of the henchmen even heard him sneaking past on his way to the control room. There was a reason the Global Defense Team sent Squeakers for their most difficult missions. His size and silence made him ideal for getting in and out of places their normal agents couldn't.

Squeakers reached the control room and let out a quiet squeak of frustration. The door was closed too tightly for him to slip underneath. He padded his way to the wall beside the door and gnawed a small hole in it. Placing one paw in the hole, he hefted himself up and gnawed another. He chewed his way up the wall, using the holes as paw-holds, until he reached the control panel. Carefully moving one paw to his mouse-sized tool belt, he got out his rubber tooth covers and slipped them on. With that protection in place, he bit down on the wires and tore them free. The control panel made a zapping noise as its wiring was destroyed, but the rubber tooth covers kept Squeakers from being electrocuted. He nibbled at an exposed circuit, and the door slid open.

Once Squeakers had dropped to the floor, he scurried inside and climbed the leg of a desk where the computer he had been sent to reach awaited. He hefted the computer chip from his mouse-sized backpack and slid it into the computer. He held perfectly still as the information transferred to the chip, then stuck it back into his backpack, dropped back down to the floor, and silently padded his way back out of the facility right under the eyes of the henchmen. When he was safely out of the building, he headed for the rendezvous point. The mission had been a mouse-sized success.",Rewriting
"Extract a chronological list of years explaining the formative years of the amateur freestyle motocross. Each year should have its own line and in sentence form. 

is a progressive venue, one of the first motocross tracks in the country to have a website and run races simultaneously on their two tracks. The kind of place that is game to hosting something new.

Related Articles
- Riders for Striders: Adventure Motorcycle Riders Support Getting Kids on Bikes for 10th Year in a Row 
- Polaris Announces New 2035 Goals in Its 2022 ‘Geared For Good’ Report
- Curtiss Motorcycles Launches New Round of Funding via Wefunder
Freestyle motocross was still in its infancy. Riders started pulling increasingly athletic tricks in competition in the mid-1990s. Jump contests became part of the show, and the popular videos “Showtime” and “Crusty Demons of Dirt” showed riders doing insane tricks on motocross bikes. Shane Trittler held what is considered the first freestyle motocross event in Castaic, Calif. in 1996, and Racer X magazine put photos of the event on the cover.

When freestyle motocross (FMX) was added to the X Games in 1999, FMX had officially arrived. The riders who became the face of the sport — Mike Metzger, Larry Linkogle, Brian Deegan and Carey Hart — became heroes to legions of fans. At roughly this same time, the Walden-Playboy track decided to host an amateur competition.","Mid-1990s: Riders started pulling increasingly athletic tricks in competition.
1996: Shane Trittler held what is considered the first freestyle motocross event in Castaic, Calif.
1999: Freestyle motocross (FMX) was added to the X Games.",Extraction
"Use the biography found below to create a list of the Broadway productions in which Ed Wynn appeared between 1900 and 1929. Put them in a chronologically ordered, numbered list that includes the titles and dates of the production.

Ed Wynn was a U.S. comedian known for 60 years as ""The Perfect Fool."" Wynn was born Isaiah Edwin Leopold on November 9, 1886, in Philadelphia of an immigrant family from Prague. His early appearances on Broadway included The Deacon and the Lady (1910); Ziegfeld Follies of 1914; Ziegfeld Follies of 1915; The Passing Show of 1916; and Sometime (1918). In 1919, when earning $1,700 weekly, he joined a choristers' strike and was then blacklisted by managements. Using his savings, Wynn wrote, staged, composed the music, and performed in the Ed Wynn Carnival (1919–21); The Perfect Fool (1921–22); and The Grab Bag (1925) on Broadway. He later performed in Manhattan Mary (1927), and wrote, staged, produced, and performed in Simple Simon (1930–31); The Laugh Parade (1932); Boys and Girls Together (1941); and Laugh, Town, Laugh (1942). During the 1930s he became one of the first radio comedy stars, creating the role of the Texaco Fire Chief.
His films roles include Follow the Leader (1930); The Chief (1933); the voice of the Mad Hatter in Alice in Wonderland (1951); The Great Man (1956); Marjorie Morningstar (1958); The Diary of Anne Frank (Oscar nomination for Best Supporting Actor, 1959); Cinderfella (1960); The Absent-Minded Professor(1961); Babes in Toyland (1961); Son of Flubber (1963); The Patsy (1964); Mary Poppins (1964); Those Calloways (1965); The Greatest Story Ever Told (1965); The Daydreamer (1966); and The Gnome-Mobile (1967).
Wynn had many forays into television as well. He hosted the Camel Comedy Caravan variety show (1950), starred in The Ed Wynn Show sitcom (1958–59), and was a guest on dozens of panel, variety, and drama series. He appeared in the TV drama Requiem for a Heavyweight (1956) and the TV movies Meet Me in St. Louis (1959), Miracle on 34th Street (1959), The Golden Horseshoe Revue (1962), and For the Love of Willadean (1964). In 1950 he was awarded an Emmy for Most Outstanding Live Personality, and The Ed Wynn Show won an Emmy for Best Live Show. He earned Emmy nominations for three of his drama series performances (1957, 1958, and 1961).
Wynn died on June 19, 1966, in Beverly Hills California, of throat cancer at age 79.
He was the father of actor Keenan Wynn (1916–1986).","1.	The Deacon and the Lady (1910)
2.	Ziegfeld Follies of 1914
3.	Ziegfeld Follies of 1915
4.	The Passing Show of 1916
5.	Sometime (1918)
6.	Ed Wynn Carnival (1919–21)
7.	The Perfect Fool (1921–22)
8.	The Grab Bag (1925)
9.	Manhattan Mary (1927)",Extraction
"Extract the years and locations mentioned in the article portion. Use a {year}: {location} format. Put them in the order they are mentioned in the article. 

Problems can arise when Savannah cats get outside. In 2013, an F2 Savannah in Detroit got away from home and was shot and thrown in a trash can, likely perceived as a wild animal.

In addition to that public perception, some people and governments consider escaped Savannahs to be “a greater ecological risk with respect to its impact on other native species,” Kornreich says, since they're bigger than house cats and superior predators. (Read about outdoor domestic cats’ effect on wildlife.)

In 2008, Australia declared Savannah cats illegal to own, a preemptive move based on concern that their serval genes would make them more efficient hunters of native fauna.

A 2019 study backed up that decision, suggesting that escaped or released Savannah cats would thrive in 97 percent of the country and put up to 90 percent of native wildlife at risk.
","{2013: Detroit}
{2008: Australia}
{2019: Australia}",Extraction
"Analyze the data below and return all of the proper nouns.  Return them as one sentence ending with a period. Include duplicated words and separate the words with a dash {-} - 

  Aquitaine, capital city Bordeaux,  was one of the great historic provinces of France.
  This page covers the area that until 2016 was the Aquitaine region of France, now merged into a larger region known as Nouvelle Aquitaine.
  Old Aquitaine is  one of the largest and most varied regions of France, stretching from the foothills of the Massif Central in the north, to the Spanish border in the south, a distance of over 300 km. In the Middle Ages, Aquitaine was allied with the Plantagenet kings of England, and the region has many historic connections with the British Isles, notably through the wine trade.
    On account of its size, Aquitaine is a very varied region; the northwest of the area, comprising the departments of the Dordogne (24) and the Lot et Garonne (47) is made up of gentle hill country, with large areas of vineyards in the lower lying areas, and woodland and mixed farming in the hillier north east. The Dordogne area (click for more details) is famous for its rurality, its gentle valleys and villages, which seem to outsiders to be lost in time, and have become very popular with second-home buyers from the UK and the Netherlands   human habitation in Europe, and many prehistoric sites can be found round the area of Lascaux (remarkable caves, a UNESCO world heritage site) and Les Eyzies. Within France, the Dordogne department is more famous for its gastronomic specialities, truffles, foie-gras, walnuts and other mouth-watering delicacies, and is often rerferred to as ""le Périgord"", the area around the departmental capital of Périgueux.
        The middle band of the region, following the line of the Gironde estuary, is low-lying land, and one of the most famous wine-producing areas in France. Bordeaux, regional capital and capital of the Gironde (33) department, is amagnificent city lying at the lowest bridging point on the Garonne river. it is one of France's great seaports, and its historic wealth is reflected in the many fine buildings of the old city, such as the unique eighteenth-century theatre. North of Bordeaux, to the west of the Gironde estuary, lies the area of Médoc, the most prestigious of the region's wine-producing areas; other famous vineyard areas can be found all round Bordeaux, and notably along the valley of the Garonne and its tributaries. Dunes near Arcachon
Sand dunes above the bay of Arcachon
",Aquitaine - Bordeaux - France - Aquitaine - France - Nouvelle Aquitaine - Old Aquitaine - France - Massif Central - Spanish - Middle Ages - Aquitaine - Plantagenet - England - British Isles - Aquitaine - Dordogne - Lot et Garonne - Dordogne - Netherlands - Europe - Lascaux - Les Eyzies - France - Dordogne - Périgord - Périgueux - Gironde - France - Bordeaux - Gironde - Garonne - France's - Bordeaux - Gironde - Médoc - Arcachon,Extraction
"Parse the text for a list of ingredients. Create a bulleted list of each ingredient followed by its measurement using this format {Ingredient – Measurement}. Remember to capitalize the first letter of each line. 


Recipe adapted from Betty Crocker.

Ingredients
1/2 cup (112g) butter, unsalted or salted, room temperature
1/2 cup (100g) granulated sugar
1/2 cup (110g) packed brown sugar, light or dark
1/2 cup (130g) peanut butter
1 large egg
1 1/4 cups (160g) all-purpose flour
3/4 teaspoon baking soda
1/2 teaspoon baking powder
1/4 teaspoon kosher salt (omit if using salted butter)","• Butter, unsalted or salted, room temperature – ½ cup (112g)
• Granulated sugar – ½  cup (100g) 
• Packed brown sugar, light or dark – ½ cup (110g)
• Peanut butter – ½ cup (130g)
• Large egg – 1 
• All-purpose flour – 1 1/4 cups (160g)
• Baking soda – ¾ teaspoon
• Baking powder – ½ teaspoon
• Kosher salt (omit if using salted butter) – ¼ teaspoon",Extraction
